in1,gid,provincia,departamen,nam
06336,359,Buenos Aires,General Lavalle,General Lavalle
06343,360,Buenos Aires,General Paz,General Paz
06357,361,Buenos Aires,General Pueyrredon,General Pueyrredón
06364,362,Buenos Aires,General Rodriguez,General Rodríguez
06371,363,Buenos Aires,General San Martin,General San Martín
06385,364,Buenos Aires,General Viamonte,General Viamonte
06399,365,Buenos Aires,Guamini,Guaminí
06406,366,Buenos Aires,Hipolito Yrigoyen,Hipólito Yrigoyen
06408,367,Buenos Aires,Hurlingham,Hurlingham
06410,368,Buenos Aires,Ituzaingo,Ituzaingó
06412,369,Buenos Aires,Jose C. Paz,José C. Paz
06413,370,Buenos Aires,Junin,Junín
06420,371,Buenos Aires,La Costa,La Costa
06427,372,Buenos Aires,La Matanza,La Matanza
06441,373,Buenos Aires,La Plata,La Plata
06434,374,Buenos Aires,Lanus,Lanús
06448,375,Buenos Aires,Laprida,Laprida
06455,376,Buenos Aires,Las Flores,Las Flores
06466,377,Buenos Aires,Lezama,Lezama
06469,378,Buenos Aires,Lincoln,Lincoln
06476,379,Buenos Aires,Loberia,Lobería
06483,380,Buenos Aires,Lobos,Lobos
06490,381,Buenos Aires,Lomas de Zamora,Lomas de Zamora
06497,382,Buenos Aires,Lujan,Luján
06505,383,Buenos Aires,Magdalena,Magdalena
06511,384,Buenos Aires,Maipu,Maipú
06515,385,Buenos Aires,Malvinas Argentinas,Malvinas Argentinas
06518,386,Buenos Aires,Mar Chiquita,Mar Chiquita
06525,387,Buenos Aires,Marcos Paz,Marcos Paz
06532,388,Buenos Aires,Mercedes,Mercedes
06539,389,Buenos Aires,Merlo,Merlo
06547,390,Buenos Aires,Monte,Monte
06553,391,Buenos Aires,Monte Hermoso,Monte Hermoso
06560,392,Buenos Aires,Moreno,Moreno
06568,393,Buenos Aires,Moron,Morón
06574,394,Buenos Aires,Navarro,Navarro
06581,395,Buenos Aires,Necochea,Necochea
06595,396,Buenos Aires,Olavarria,Olavarría
06609,397,Buenos Aires,Pehuajo,Pehuajó
06616,398,Buenos Aires,Pellegrini,Pellegrini
06630,399,Buenos Aires,Pila,Pila
06638,400,Buenos Aires,Pilar,Pilar
06644,401,Buenos Aires,Pinamar,Pinamar
06648,402,Buenos Aires,Presidente Peron,Presidente Perón
06651,403,Buenos Aires,Puan,Puán
06655,404,Buenos Aires,Punta Indio,Punta Indio
06658,405,Buenos Aires,Quilmes,Quilmes
06665,406,Buenos Aires,Ramallo,Ramallo
06672,407,Buenos Aires,Rauch,Rauch
06679,408,Buenos Aires,Rivadavia,Rivadavia
06686,409,Buenos Aires,Rojas,Rojas
06693,410,Buenos Aires,Roque Perez,Roque Pérez
06700,411,Buenos Aires,Saavedra,Saavedra
