,PROV_,DEPTO_,FRACC_,COD_2010,IN1,NAM
68,02,013,03,020130306,02091,Comuna 13
69,02,013,05,020130503,02091,Comuna 13
70,02,012,05,020120508,02084,Comuna 12
71,02,012,05,020120509,02084,Comuna 12
72,02,013,04,020130404,02091,Comuna 13
73,02,012,03,020120311,02084,Comuna 12
74,02,013,12,020131205,02091,Comuna 13
75,02,013,11,020131103,02091,Comuna 13
76,02,012,05,020120510,02084,Comuna 12
77,02,012,05,020120511,02084,Comuna 12
78,02,013,03,020130310,02091,Comuna 13
79,02,013,04,020130406,02091,Comuna 13
80,02,012,01,020120103,02084,Comuna 12
81,02,012,01,020120111,02084,Comuna 12
82,02,012,06,020120604,02084,Comuna 12
83,02,012,02,020120202,02084,Comuna 12
84,02,012,01,020120110,02084,Comuna 12
85,02,013,03,020130309,02091,Comuna 13
86,02,013,05,020130504,02091,Comuna 13
87,02,013,05,020130502,02091,Comuna 13
88,02,013,04,020130408,02091,Comuna 13
89,02,012,02,020120201,02084,Comuna 12
90,02,013,11,020131106,02091,Comuna 13
91,02,013,11,020131104,02091,Comuna 13
92,02,013,03,020130307,02091,Comuna 13
93,02,013,04,020130407,02091,Comuna 13
94,02,013,04,020130405,02091,Comuna 13
95,02,013,05,020130506,02091,Comuna 13
96,02,012,06,020120603,02084,Comuna 12
97,02,013,11,020131105,02091,Comuna 13
98,02,012,06,020120606,02084,Comuna 12
99,02,013,10,020131003,02091,Comuna 13
100,02,012,06,020120602,02084,Comuna 12
101,02,013,03,020130308,02091,Comuna 13
102,02,012,02,020120203,02084,Comuna 12
103,02,013,11,020131107,02091,Comuna 13
104,02,013,05,020130505,02091,Comuna 13
105,02,013,05,020130501,02091,Comuna 13
106,02,012,06,020120605,02084,Comuna 12
107,02,013,04,020130412,02091,Comuna 13
108,02,013,05,020130507,02091,Comuna 13
109,02,014,10,020141001,02098,Comuna 14
110,02,013,04,020130409,02091,Comuna 13
111,02,013,04,020130411,02091,Comuna 13
112,02,013,05,020130508,02091,Comuna 13
113,02,013,12,020131204,02091,Comuna 13
114,02,013,10,020131002,02091,Comuna 13
115,02,013,06,020130601,02091,Comuna 13
116,02,013,10,020131005,02091,Comuna 13
117,02,013,12,020131202,02091,Comuna 13
118,02,012,06,020120601,02084,Comuna 12
119,02,012,07,020120702,02084,Comuna 12
120,02,013,10,020131004,02091,Comuna 13
121,02,012,06,020120607,02084,Comuna 12
122,02,013,04,020130410,02091,Comuna 13
123,02,013,10,020131001,02091,Comuna 13
124,02,012,02,020120204,02084,Comuna 12
125,02,013,06,020130605,02091,Comuna 13
126,02,013,04,020130413,02091,Comuna 13
127,02,012,02,020120208,02084,Comuna 12
128,02,013,08,020130804,02091,Comuna 13
129,02,012,06,020120609,02084,Comuna 12
130,02,013,06,020130602,02091,Comuna 13
131,02,013,06,020130604,02091,Comuna 13
132,02,012,06,020120608,02084,Comuna 12
133,02,013,04,020130414,02091,Comuna 13
134,02,012,02,020120205,02084,Comuna 12
135,02,013,08,020130803,02091,Comuna 13
